FirstName;LastName;FullName;Address;NameAbbreviation;WasDeleted;ProfilePhotoId;ProfilePhotoIdUrl;Id;UserName;NormalizedUserName;Email;NormalizedEmail;EmailConfirmed;PasswordHash;SecurityStamp;ConcurrencyStamp;PhoneNumber;PhoneNumberConfirmed;TwoFactorEnabled;LockoutEnd;LockoutEnabled;AccessFailedCount
Teacher;14;Teacher 14;Address of Teacher 14, 6511;T1;False;00000000-0000-0000-0000-000000000000;https://supershop.blob.core.windows.net/placeholders/noimage.png;025860dc-25ad-493f-89b5-5278e7b1e42e;teacher.14.cinel.pt@yopmail.com;TEACHER.14.CINEL.PT@YOPMAIL.COM;teacher.14.cinel.pt@yopmail.com;TEACHER.14.CINEL.PT@YOPMAIL.COM;False;AQAAAAIAAYagAAAAEMuRTOBFOIx9nh7op+ho5WyfT5vOSOF7K4TAgjh2zQN5yVF/w17AZopLiQjHbHmRKw==;BRPDS5MPRRMNLJWB3ZY427FPH7GXP2GX;ba2a1896-2c0e-4586-bdcd-5fb4494ec42f;598228908;False;False;;True;0
Reinaldo;Souza;Reinaldo Souza;Address of Reinaldo Souza, 553;RS;False;00000000-0000-0000-0000-000000000000;https://supershop.blob.core.windows.net/placeholders/noimage.png;04e547df-0d12-4df4-a4b8-0d91fe8b064d;reinaldo.souza.cinel.pt@yopmail.com;REINALDO.SOUZA.CINEL.PT@YOPMAIL.COM;reinaldo.souza.cinel.pt@yopmail.com;REINALDO.SOUZA.CINEL.PT@YOPMAIL.COM;False;AQAAAAIAAYagAAAAEMEAZX1++3+xPFyZRnIabITX0FO21PpPKsr5FCehL1n01h8Q4nS6bzqgQDAAQapttg==;MBSGOBSNCZ2UKEZQFI4GGYPL66UJ5GMW;09c7c37c-406d-4e17-a82d-1658b3fc34b1;934274509;False;False;;True;0
Tatiane;Avellar;Tatiane Avellar;Calle Luna, 9348;TA;False;00000000-0000-0000-0000-000000000000;https://supershop.blob.core.windows.net/placeholders/noimage.png;0b2ed897-89c2-4234-bfb0-a1090ed372a3;tatiane.avellar.24718@formandos.cinel.pt;TATIANE.AVELLAR.24718@FORMANDOS.CINEL.PT;tatiane.avellar.24718@formandos.cinel.pt;TATIANE.AVELLAR.24718@FORMANDOS.CINEL.PT;False;AQAAAAIAAYagAAAAEIS0DrINQmbfv+6rEwYWoOEEaI2jPDC8X2g4D1fL/dvNdTgEaXHGaa/fhi2lg2r/lg==;SP6B2WV43BHJ26EWNRUHHRYKPYEIVGEG;e9475174-a121-4c3a-a6de-2972a36e763b;963486594;False;False;;True;0
Teacher;22;Teacher 22;Address of Teacher 22, 9463;T2;False;00000000-0000-0000-0000-000000000000;https://supershop.blob.core.windows.net/placeholders/noimage.png;0b9e7da7-5fbf-44c3-b110-08ada2607c12;teacher.22.cinel.pt@yopmail.com;TEACHER.22.CINEL.PT@YOPMAIL.COM;teacher.22.cinel.pt@yopmail.com;TEACHER.22.CINEL.PT@YOPMAIL.COM;False;AQAAAAIAAYagAAAAEDK3gbJi8KCoHzjs/iZjEA7NX7PjIfuRAIdg2JTuF6opxM0w7a5BnaMH/D2G7GrRjQ==;563FQVQJNEVFCY7HDDAAO2JVSPFIFKTZ;3736d12b-376a-42a9-b1c5-1cd5986bf0f0;492942219;False;False;;True;0
Nuno;Vilhena Santos;Nuno Vilhena Santos;Calle Luna, 4616;NS;False;00000000-0000-0000-0000-000000000000;https://supershop.blob.core.windows.net/placeholders/noimage.png;0c083295-17c8-4d4a-8659-4f03ccec4a1c;nunovilhenasantos@msn.com;NUNOVILHENASANTOS@MSN.COM;nunovilhenasantos@msn.com;NUNOVILHENASANTOS@MSN.COM;False;AQAAAAIAAYagAAAAEPzj36yLtM1Qn22yfYZc8M7Aq4kmBzhwfUIgXBhE6/i1DLtelGZw8/j1+wfqt0ilfA==;SSHRJCC426N4AQ5OIMTDNVGNN324AQAI;a61c2d11-58f6-4014-a075-1a36f7ef7e6f;989592718;False;False;;True;0
Catarina;Palma;Catarina Palma;Address of Catarina Palma, 3410;CP;False;00000000-0000-0000-0000-000000000000;https://supershop.blob.core.windows.net/placeholders/noimage.png;0f4f9a5a-7b04-49c7-afe5-a31e42eafd3c;catarina.palma.cinel.pt@yopmail.com;CATARINA.PALMA.CINEL.PT@YOPMAIL.COM;catarina.palma.cinel.pt@yopmail.com;CATARINA.PALMA.CINEL.PT@YOPMAIL.COM;False;AQAAAAIAAYagAAAAEEd8EQf5V5xAWT+72ZZk4k72kZaUDjWxwan8saUB3YL2CgxvKwGQFT9GqIWr1FWnhw==;7X3V2ZATIDZNCGEZ2YVQNSKLIXIDSGA2;7f684dc7-7de3-425d-94ba-d196cd56c2b9;615604560;False;False;;True;0
Teacher;25;Teacher 25;Address of Teacher 25, 77;T2;False;00000000-0000-0000-0000-000000000000;https://supershop.blob.core.windows.net/placeholders/noimage.png;18decf24-1ab0-48a7-9794-9367abbb12d6;teacher.25.cinel.pt@yopmail.com;TEACHER.25.CINEL.PT@YOPMAIL.COM;teacher.25.cinel.pt@yopmail.com;TEACHER.25.CINEL.PT@YOPMAIL.COM;False;AQAAAAIAAYagAAAAEC4u0leu2NfHTmCsxJRmm0/vfF6Ifa/8qLyf7sH3NeIy1Ol75B4VpU9+/mn2yM5Eww==;MCLRQG4R4M2C4FUB4ATBHA24QWVCLWP5;214e9542-bd62-4db4-8a4b-b46f4c731698;836674502;False;False;;True;0
Teacher;1;Teacher 1;Address of Teacher 1, 4273;T1;False;00000000-0000-0000-0000-000000000000;https://supershop.blob.core.windows.net/placeholders/noimage.png;233e2bb9-14f9-47eb-a8dd-bc9aa2ce4add;teacher.1.cinel.pt@yopmail.com;TEACHER.1.CINEL.PT@YOPMAIL.COM;teacher.1.cinel.pt@yopmail.com;TEACHER.1.CINEL.PT@YOPMAIL.COM;False;AQAAAAIAAYagAAAAEGBWfZ5KpU1wlB8Jh8Ml4ocpbqn5mJytzHjG8MA+cUXeG0EzTN9nbPrZThKnA/5igg==;4TWCE2OX2NWLCEOFJFJ7HUL4WC2JO6DD;48f3acf8-07de-4a75-9652-3199b9f1fd37;555686298;False;False;;True;0
Claudia;Passarinho;Claudia Passarinho;Address of Claudia Passarinho, 1546;CP;False;00000000-0000-0000-0000-000000000000;https://supershop.blob.core.windows.net/placeholders/noimage.png;23cc1b89-51ae-456a-b37c-c060b95dafd2;claudia.passarinho.cinel.pt@yopmail.com;CLAUDIA.PASSARINHO.CINEL.PT@YOPMAIL.COM;claudia.passarinho.cinel.pt@yopmail.com;CLAUDIA.PASSARINHO.CINEL.PT@YOPMAIL.COM;False;AQAAAAIAAYagAAAAEN4bFS1DaTAYesYurWxU1W5I3LK53xG9X5CqVdAxo7rdE1fur6DaMdKtX798xqVK0g==;2TNRDYGAXL6MRVY5TU6GYQRMTJ2O3OBP;874d9c24-bae8-4045-bb82-a61b1f32479f;763935515;False;False;;True;0
Teacher;16;Teacher 16;Address of Teacher 16, 6153;T1;False;00000000-0000-0000-0000-000000000000;https://supershop.blob.core.windows.net/placeholders/noimage.png;29a67ee1-1e74-4a53-b74d-346a695541a6;teacher.16.cinel.pt@yopmail.com;TEACHER.16.CINEL.PT@YOPMAIL.COM;teacher.16.cinel.pt@yopmail.com;TEACHER.16.CINEL.PT@YOPMAIL.COM;False;AQAAAAIAAYagAAAAEAsEmZ/QDj55WCoVL81CYpBziWrwcW0oTyfxX7h7VW/zsHlksjIdT2z563jSEyafwA==;Z6L2JHNGCAMUQV4KCER4QA3ZQ7A62QCE;5a8cf1da-f534-464d-ae33-3cf9f6bf8af2;255820514;False;False;;True;0
Vasco;Santos;Vasco Santos;Address of Vasco Santos, 7283;VS;False;00000000-0000-0000-0000-000000000000;https://supershop.blob.core.windows.net/placeholders/noimage.png;29b4d4be-28c5-4fef-9400-19bbcd9efed0;vasco.santos.cinel.pt@yopmail.com;VASCO.SANTOS.CINEL.PT@YOPMAIL.COM;vasco.santos.cinel.pt@yopmail.com;VASCO.SANTOS.CINEL.PT@YOPMAIL.COM;False;AQAAAAIAAYagAAAAEHOP1uis1F0BNSPxwwz+WKo20n18ocM7cNnuSDREIUM12qqvYz5HdD0d1TPTkK7WYw==;WSFELPQ52WCGJ4R3CR7U4FMHFN3Z2MZK;0dcdf1e3-3366-4598-a0fd-a3ba1e10eed1;741125601;False;False;;True;0
